"season","Date","Visitor","G","Home","G","Var.7","Att.","LOG","Notes","playoffs"
1950,"1950-03-04","Chicago Black Hawks","1","Montreal Canadiens","3","","","","",0
1950,"1950-03-04","Detroit Red Wings","2","Toronto Maple Leafs","3","","","","",0
1950,"1950-03-05","Chicago Black Hawks","4","Boston Bruins","11","","","","",0
1950,"1950-03-05","Toronto Maple Leafs","2","New York Rangers","5","","","","",0
1950,"1950-03-06","Montreal Canadiens","2","Detroit Red Wings","2","","","","",0
1950,"1950-03-08","Detroit Red Wings","5","Boston Bruins","3","","","","",0
1950,"1950-03-08","New York Rangers","4","Chicago Black Hawks","2","","","","",0
1950,"1950-03-09","Toronto Maple Leafs","1","Montreal Canadiens","1","","","","",0
1950,"1950-03-09","Detroit Red Wings","1","New York Rangers","3","","","","",0
1950,"1950-03-11","Chicago Black Hawks","1","Detroit Red Wings","5","","","","",0
1950,"1950-03-11","Boston Bruins","0","Montreal Canadiens","5","","","","",0
1950,"1950-03-11","New York Rangers","0","Toronto Maple Leafs","4","","","","",0
1950,"1950-03-12","Toronto Maple Leafs","2","Boston Bruins","2","","","","",0
1950,"1950-03-12","Detroit Red Wings","4","Chicago Black Hawks","2","","","","",0
1950,"1950-03-12","Montreal Canadiens","5","New York Rangers","1","","","","",0
1950,"1950-03-15","Toronto Maple Leafs","0","Chicago Black Hawks","4","","","","",0
1950,"1950-03-15","Montreal Canadiens","1","Detroit Red Wings","4","","","","",0
1950,"1950-03-15","Boston Bruins","4","New York Rangers","1","","","","",0
1950,"1950-03-16","Detroit Red Wings","2","Montreal Canadiens","2","","","","",0
1950,"1950-03-18","Boston Bruins","1","Detroit Red Wings","1","","","","",0
1950,"1950-03-18","New York Rangers","3","Montreal Canadiens","5","","","","",0
1950,"1950-03-18","Chicago Black Hawks","1","Toronto Maple Leafs","2","","","","",0
1950,"1950-03-19","Boston Bruins","4","Chicago Black Hawks","3","","","","",0
1950,"1950-03-19","Toronto Maple Leafs","0","Detroit Red Wings","5","","","","",0
1950,"1950-03-19","Montreal Canadiens","4","New York Rangers","2","","","","",0
